n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,0.105238,1,0.105238,0.105238,0.105238,1157,1,1157,1157,1157
16,30,0.000145973,1,0.000145973,0.000145973,0.000145973,1,1,1,1,1
16,30,0.000229941,1,0.000229941,0.000229941,0.000229941,1,1,1,1,1
16,30,0.000164368,1,0.000164368,0.000164368,0.000164368,1,1,1,1,1
16,30,0.00299021,1,0.00299021,0.00299021,0.00299021,31,1,31,31,31
16,30,0.000203863,1,0.000203863,0.000203863,0.000203863,1,1,1,1,1
16,30,0.000213176,1,0.000213176,0.000213176,0.000213176,1,1,1,1,1
16,30,0.000547506,1,0.000547506,0.000547506,0.000547506,5,1,5,5,5
16,30,0.0105517,1,0.0105517,0.0105517,0.0105517,107,1,107,107,107
16,30,0.000267545,1,0.000267545,0.000267545,0.000267545,1,1,1,1,1
16,30,0.00422431,1,0.00422431,0.00422431,0.00422431,43,1,43,43,43
16,30,0.000236992,1,0.000236992,0.000236992,0.000236992,1,1,1,1,1
16,30,0.0107331,1,0.0107331,0.0107331,0.0107331,175,1,175,175,175
16,30,0.000616598,1,0.000616598,0.000616598,0.000616598,5,1,5,5,5
16,30,0.00174395,1,0.00174395,0.00174395,0.00174395,15,1,15,15,15
16,30,0.00020436,1,0.00020436,0.00020436,0.00020436,1,1,1,1,1
16,30,0.0980751,1,0.0980751,0.0980751,0.0980751,1409,1,1409,1409,1409
16,30,0.290533,1,0.290533,0.290533,0.290533,4665,1,4665,4665,4665
16,30,0.000215324,1,0.000215324,0.000215324,0.000215324,1,1,1,1,1
16,30,0.000205074,1,0.000205074,0.000205074,0.000205074,1,1,1,1,1
16,30,0.000200489,1,0.000200489,0.000200489,0.000200489,1,1,1,1,1
16,30,0.000443089,1,0.000443089,0.000443089,0.000443089,5,1,5,5,5
16,30,0.787282,1,0.787282,0.787282,0.787282,10661,1,10661,10661,10661
16,30,0.000214893,1,0.000214893,0.000214893,0.000214893,1,1,1,1,1
16,30,0.0035236,1,0.0035236,0.0035236,0.0035236,35,1,35,35,35
16,30,0.000194165,1,0.000194165,0.000194165,0.000194165,1,1,1,1,1
16,30,0.00247313,1,0.00247313,0.00247313,0.00247313,25,1,25,25,25
16,30,0.000235995,1,0.000235995,0.000235995,0.000235995,1,1,1,1,1
16,30,0.0405577,1,0.0405577,0.0405577,0.0405577,593,1,593,593,593
16,30,0.976611,1,0.976611,0.976611,0.976611,13845,1,13845,13845,13845
16,30,0.000240362,1,0.000240362,0.000240362,0.000240362,1,1,1,1,1
16,30,0.0637213,1,0.0637213,0.0637213,0.0637213,863,1,863,863,863
16,30,0.000198452,1,0.000198452,0.000198452,0.000198452,1,1,1,1,1
16,30,0.000197166,1,0.000197166,0.000197166,0.000197166,1,1,1,1,1
16,30,0.000152733,1,0.000152733,0.000152733,0.000152733,1,1,1,1,1
16,30,0.00601701,1,0.00601701,0.00601701,0.00601701,69,1,69,69,69
16,30,0.0141435,1,0.0141435,0.0141435,0.0141435,165,1,165,165,165
16,30,0.000187413,1,0.000187413,0.000187413,0.000187413,1,1,1,1,1
16,30,0.00538507,1,0.00538507,0.00538507,0.00538507,53,1,53,53,53
16,30,0.0145919,1,0.0145919,0.0145919,0.0145919,209,1,209,209,209
16,30,0.0416729,1,0.0416729,0.0416729,0.0416729,561,1,561,561,561
16,30,0.000251501,1,0.000251501,0.000251501,0.000251501,1,1,1,1,1
16,30,0.108871,1,0.108871,0.108871,0.108871,1915,1,1915,1915,1915
16,30,0.0346466,1,0.0346466,0.0346466,0.0346466,481,1,481,481,481
16,30,0.000174088,1,0.000174088,0.000174088,0.000174088,1,1,1,1,1
16,30,0.00193505,1,0.00193505,0.00193505,0.00193505,21,1,21,21,21
16,30,0.260143,1,0.260143,0.260143,0.260143,3167,1,3167,3167,3167
16,30,0.000274915,1,0.000274915,0.000274915,0.000274915,1,1,1,1,1
16,30,0.000169788,1,0.000169788,0.000169788,0.000169788,1,1,1,1,1
16,30,0.00029963,1,0.00029963,0.00029963,0.00029963,1,1,1,1,1
16,30,0.0264826,1,0.0264826,0.0264826,0.0264826,337,1,337,337,337
16,30,0.000213869,1,0.000213869,0.000213869,0.000213869,1,1,1,1,1
16,30,0.0002035,1,0.0002035,0.0002035,0.0002035,1,1,1,1,1
16,30,0.000300696,1,0.000300696,0.000300696,0.000300696,1,1,1,1,1
16,30,0.000254982,1,0.000254982,0.000254982,0.000254982,1,1,1,1,1
16,30,0.00418921,1,0.00418921,0.00418921,0.00418921,47,1,47,47,47
16,30,0.00104598,1,0.00104598,0.00104598,0.00104598,11,1,11,11,11
16,30,0.00023716,1,0.00023716,0.00023716,0.00023716,1,1,1,1,1
16,30,0.000192612,1,0.000192612,0.000192612,0.000192612,1,1,1,1,1
16,30,0.00541809,1,0.00541809,0.00541809,0.00541809,59,1,59,59,59
16,30,0.0727743,1,0.0727743,0.0727743,0.0727743,1071,1,1071,1071,1071
16,30,0.00681349,1,0.00681349,0.00681349,0.00681349,71,1,71,71,71
16,30,0.000169938,1,0.000169938,0.000169938,0.000169938,1,1,1,1,1
16,30,0.000200871,1,0.000200871,0.000200871,0.000200871,1,1,1,1,1
16,30,0.00480296,1,0.00480296,0.00480296,0.00480296,59,1,59,59,59
16,30,0.000184425,1,0.000184425,0.000184425,0.000184425,1,1,1,1,1
16,30,0.00343083,1,0.00343083,0.00343083,0.00343083,35,1,35,35,35
16,30,0.0824073,1,0.0824073,0.0824073,0.0824073,1119,1,1119,1119,1119
16,30,0.0370406,1,0.0370406,0.0370406,0.0370406,505,1,505,505,505
16,30,0.0109702,1,0.0109702,0.0109702,0.0109702,115,1,115,115,115
16,30,0.0103088,1,0.0103088,0.0103088,0.0103088,133,1,133,133,133
16,30,0.000570711,1,0.000570711,0.000570711,0.000570711,5,1,5,5,5
16,30,0.213296,1,0.213296,0.213296,0.213296,3053,1,3053,3053,3053
16,30,0.0167679,1,0.0167679,0.0167679,0.0167679,185,1,185,185,185
16,30,0.0208067,1,0.0208067,0.0208067,0.0208067,247,1,247,247,247
16,30,0.363647,1,0.363647,0.363647,0.363647,5321,1,5321,5321,5321
16,30,0.000185987,1,0.000185987,0.000185987,0.000185987,1,1,1,1,1
16,30,0.441884,1,0.441884,0.441884,0.441884,7619,1,7619,7619,7619
16,30,0.000683911,1,0.000683911,0.000683911,0.000683911,5,1,5,5,5
16,30,0.0035899,1,0.0035899,0.0035899,0.0035899,41,1,41,41,41
16,30,0.11774,1,0.11774,0.11774,0.11774,1753,1,1753,1753,1753
16,30,0.000178345,1,0.000178345,0.000178345,0.000178345,1,1,1,1,1
16,30,0.00037273,1,0.00037273,0.00037273,0.00037273,3,1,3,3,3
16,30,0.00688359,1,0.00688359,0.00688359,0.00688359,101,1,101,101,101
16,30,0.000207477,1,0.000207477,0.000207477,0.000207477,1,1,1,1,1
16,30,0.01872,1,0.01872,0.01872,0.01872,247,1,247,247,247
16,30,0.000149197,1,0.000149197,0.000149197,0.000149197,1,1,1,1,1
16,30,0.316168,1,0.316168,0.316168,0.316168,4315,1,4315,4315,4315
16,30,0.0724406,1,0.0724406,0.0724406,0.0724406,929,1,929,929,929
16,30,0.00428479,1,0.00428479,0.00428479,0.00428479,49,1,49,49,49
16,30,0.0113499,1,0.0113499,0.0113499,0.0113499,163,1,163,163,163
16,30,0.0516975,1,0.0516975,0.0516975,0.0516975,725,1,725,725,725
16,30,0.0213723,1,0.0213723,0.0213723,0.0213723,273,1,273,273,273
16,30,0.0346525,1,0.0346525,0.0346525,0.0346525,521,1,521,521,521
16,30,0.111025,1,0.111025,0.111025,0.111025,1591,1,1591,1591,1591
16,30,0.00522301,1,0.00522301,0.00522301,0.00522301,63,1,63,63,63
16,30,0.0532814,1,0.0532814,0.0532814,0.0532814,627,1,627,627,627
16,30,0.275415,1,0.275415,0.275415,0.275415,4507,1,4507,4507,4507
16,30,0.00017685,1,0.00017685,0.00017685,0.00017685,1,1,1,1,1
16,30,0.0302178,1,0.0302178,0.0302178,0.0302178,421,1,421,421,421
16,30,0.000164028,1,0.000164028,0.000164028,0.000164028,1,1,1,1,1
