n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
20,10,19,1,19,19,19,200,1,200,200,200,3,1,3,3,3,227,1,227,227,227,3,1,3,3,3
20,10,17,1,17,17,17,200,1,200,200,200,3,1,3,3,3,221,1,221,221,221,3,1,3,3,3
20,10,18,1,18,18,18,203,1,203,203,203,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,20,1,20,20,20,200,1,200,200,200,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,19,1,19,19,19,202,1,202,202,202,3,1,3,3,3,225,1,225,225,225,3,1,3,3,3
20,10,23,1,23,23,23,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,286,1,286,286,286,3,1,3,3,3
20,10,23,1,23,23,23,205,1,205,205,205,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,14,1,14,14,14,200,1,200,200,200,3,1,3,3,3,213,1,213,213,213,3,1,3,3,3
20,10,21,1,21,21,21,203,1,203,203,203,3,1,3,3,3,257,1,257,257,257,3,1,3,3,3
20,10,24,1,24,24,24,207,1,207,207,207,3,1,3,3,3,245,1,245,245,245,3,1,3,3,3
20,10,16,1,16,16,16,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,15,1,15,15,15,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,27,1,27,27,27,206,1,206,206,206,3,1,3,3,3,206,1,206,206,206,3,1,3,3,3
20,10,12,1,12,12,12,196,1,196,196,196,2,1,2,2,2,196,1,196,196,196,2,1,2,2,2
20,10,19,1,19,19,19,202,1,202,202,202,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,18,1,18,18,18,205,1,205,205,205,3,1,3,3,3,230,1,230,230,230,3,1,3,3,3
20,10,19,1,19,19,19,203,1,203,203,203,3,1,3,3,3,203,1,203,203,203,3,1,3,3,3
