n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
30,80,7.1108e-05,1,7.1108e-05,7.1108e-05,7.1108e-05,644,1,644,644,644,15,1,15,15,15
30,80,7.0957e-05,1,7.0957e-05,7.0957e-05,7.0957e-05,606,1,606,606,606,13,1,13,13,13
30,80,7.3626e-05,1,7.3626e-05,7.3626e-05,7.3626e-05,598,1,598,598,598,12,1,12,12,12
30,80,7.3412e-05,1,7.3412e-05,7.3412e-05,7.3412e-05,606,1,606,606,606,13,1,13,13,13
30,80,7.3503e-05,1,7.3503e-05,7.3503e-05,7.3503e-05,605,1,605,605,605,13,1,13,13,13
30,80,7.3327e-05,1,7.3327e-05,7.3327e-05,7.3327e-05,625,1,625,625,625,14,1,14,14,14
30,80,7.3127e-05,1,7.3127e-05,7.3127e-05,7.3127e-05,603,1,603,603,603,13,1,13,13,13
30,80,7.3082e-05,1,7.3082e-05,7.3082e-05,7.3082e-05,607,1,607,607,607,13,1,13,13,13
30,80,7.3739e-05,1,7.3739e-05,7.3739e-05,7.3739e-05,617,1,617,617,617,13,1,13,13,13
30,80,7.2216e-05,1,7.2216e-05,7.2216e-05,7.2216e-05,613,1,613,613,613,13,1,13,13,13
30,80,7.457e-05,1,7.457e-05,7.457e-05,7.457e-05,592,1,592,592,592,12,1,12,12,12
30,80,7.289e-05,1,7.289e-05,7.289e-05,7.289e-05,615,1,615,615,615,13,1,13,13,13
30,80,7.3128e-05,1,7.3128e-05,7.3128e-05,7.3128e-05,598,1,598,598,598,13,1,13,13,13
30,80,7.4552e-05,1,7.4552e-05,7.4552e-05,7.4552e-05,620,1,620,620,620,14,1,14,14,14
30,80,7.4296e-05,1,7.4296e-05,7.4296e-05,7.4296e-05,624,1,624,624,624,13,1,13,13,13
30,80,7.5623e-05,1,7.5623e-05,7.5623e-05,7.5623e-05,618,1,618,618,618,15,1,15,15,15
30,80,7.3894e-05,1,7.3894e-05,7.3894e-05,7.3894e-05,622,1,622,622,622,14,1,14,14,14
30,80,7.3463e-05,1,7.3463e-05,7.3463e-05,7.3463e-05,622,1,622,622,622,13,1,13,13,13
30,80,7.4175e-05,1,7.4175e-05,7.4175e-05,7.4175e-05,593,1,593,593,593,12,1,12,12,12
30,80,7.456e-05,1,7.456e-05,7.456e-05,7.456e-05,633,1,633,633,633,14,1,14,14,14
30,80,7.3197e-05,1,7.3197e-05,7.3197e-05,7.3197e-05,640,1,640,640,640,14,1,14,14,14
30,80,7.3975e-05,1,7.3975e-05,7.3975e-05,7.3975e-05,592,1,592,592,592,12,1,12,12,12
30,80,7.352e-05,1,7.352e-05,7.352e-05,7.352e-05,608,1,608,608,608,13,1,13,13,13
30,80,7.361e-05,1,7.361e-05,7.361e-05,7.361e-05,605,1,605,605,605,13,1,13,13,13
30,80,7.2454e-05,1,7.2454e-05,7.2454e-05,7.2454e-05,592,1,592,592,592,13,1,13,13,13
30,80,7.4653e-05,1,7.4653e-05,7.4653e-05,7.4653e-05,632,1,632,632,632,15,1,15,15,15
30,80,8.3441e-05,1,8.3441e-05,8.3441e-05,8.3441e-05,614,1,614,614,614,14,1,14,14,14
30,80,7.3741e-05,1,7.3741e-05,7.3741e-05,7.3741e-05,622,1,622,622,622,14,1,14,14,14
30,80,7.3376e-05,1,7.3376e-05,7.3376e-05,7.3376e-05,636,1,636,636,636,14,1,14,14,14
30,80,7.4232e-05,1,7.4232e-05,7.4232e-05,7.4232e-05,621,1,621,621,621,14,1,14,14,14
30,80,7.2822e-05,1,7.2822e-05,7.2822e-05,7.2822e-05,631,1,631,631,631,15,1,15,15,15
