n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
24,20,0.000123051,1,0.000123051,0.000123051,0.000123051,348,1,348,348,348,4,1,4,4,4
24,20,0.000117729,1,0.000117729,0.000117729,0.000117729,335,1,335,335,335,4,1,4,4,4
24,20,6.6646e-05,1,6.6646e-05,6.6646e-05,6.6646e-05,316,1,316,316,316,3,1,3,3,3
24,20,0.000185628,1,0.000185628,0.000185628,0.000185628,380,1,380,380,380,5,1,5,5,5
24,20,9.9752e-05,1,9.9752e-05,9.9752e-05,9.9752e-05,345,1,345,345,345,4,1,4,4,4
24,20,0.000122773,1,0.000122773,0.000122773,0.000122773,341,1,341,341,341,4,1,4,4,4
24,20,0.000215888,1,0.000215888,0.000215888,0.000215888,391,1,391,391,391,5,1,5,5,5
24,20,0.000100638,1,0.000100638,0.000100638,0.000100638,339,1,339,339,339,4,1,4,4,4
24,20,0.00022572,1,0.00022572,0.00022572,0.00022572,364,1,364,364,364,5,1,5,5,5
24,20,7.3345e-05,1,7.3345e-05,7.3345e-05,7.3345e-05,327,1,327,327,327,4,1,4,4,4
24,20,0.000244277,1,0.000244277,0.000244277,0.000244277,378,1,378,378,378,5,1,5,5,5
24,20,8.0254e-05,1,8.0254e-05,8.0254e-05,8.0254e-05,323,1,323,323,323,4,1,4,4,4
24,20,8.7114e-05,1,8.7114e-05,8.7114e-05,8.7114e-05,356,1,356,356,356,4,1,4,4,4
24,20,9.9498e-05,1,9.9498e-05,9.9498e-05,9.9498e-05,345,1,345,345,345,4,1,4,4,4
24,20,0.000205078,1,0.000205078,0.000205078,0.000205078,394,1,394,394,394,4,1,4,4,4
24,20,8.9354e-05,1,8.9354e-05,8.9354e-05,8.9354e-05,342,1,342,342,342,4,1,4,4,4
24,20,0.000117988,1,0.000117988,0.000117988,0.000117988,342,1,342,342,342,4,1,4,4,4
24,20,7.0808e-05,1,7.0808e-05,7.0808e-05,7.0808e-05,322,1,322,322,322,4,1,4,4,4
24,20,9.6161e-05,1,9.6161e-05,9.6161e-05,9.6161e-05,323,1,323,323,323,4,1,4,4,4
24,20,0.000221027,1,0.000221027,0.000221027,0.000221027,394,1,394,394,394,5,1,5,5,5
24,20,0.000217668,1,0.000217668,0.000217668,0.000217668,389,1,389,389,389,5,1,5,5,5
24,20,0.000119584,1,0.000119584,0.000119584,0.000119584,362,1,362,362,362,4,1,4,4,4
24,20,0.00018914,1,0.00018914,0.00018914,0.00018914,366,1,366,366,366,5,1,5,5,5
24,20,9.2045e-05,1,9.2045e-05,9.2045e-05,9.2045e-05,325,1,325,325,325,4,1,4,4,4
24,20,0.000105443,1,0.000105443,0.000105443,0.000105443,350,1,350,350,350,4,1,4,4,4
24,20,0.000199013,1,0.000199013,0.000199013,0.000199013,364,1,364,364,364,5,1,5,5,5
24,20,0.000121642,1,0.000121642,0.000121642,0.000121642,344,1,344,344,344,4,1,4,4,4
24,20,0.000143478,1,0.000143478,0.000143478,0.000143478,345,1,345,345,345,4,1,4,4,4
