n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,lower_bound_total,lower_bound_count,lower_bound_mean,lower_bound_min,lower_bound_max,upper_bound_total,upper_bound_count,upper_bound_mean,upper_bound_min,upper_bound_max,number_total,number_count,number_mean,number_min,number_max,match_tries,match_hits,match_pct,edge_threshold_tries,edge_threshold_hits,edge_threshold_pct,small_degree_tries,small_degree_hits,small_degree_pct,neighborhood_subset_tries,neighborhood_subset_hits,neighborhood_subset_pct,common_neighbors_tries,common_neighbors_hits,common_neighbors_pct
10,60,29,1,29,29,29,0.000431399,1,0.000431399,0.000431399,0.000431399,61,1,61,61,61,3,1,3,3,3,2,1,2,2,2,4,1,4,4,4,5,1,5,5,5,5,1,5,5,5,1,0,0,9,2,22.2,7,2,28.6,5,4,80,1,0,0
10,60,21,1,21,21,21,7.6433e-05,1,7.6433e-05,7.6433e-05,7.6433e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,27,1,27,27,27,9.5451e-05,1,9.5451e-05,9.5451e-05,9.5451e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,32,1,32,32,32,9.9979e-05,1,9.9979e-05,9.9979e-05,9.9979e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,22,1,22,22,22,7.947e-05,1,7.947e-05,7.947e-05,7.947e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,28,1,28,28,28,9.222e-05,1,9.222e-05,9.222e-05,9.222e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,24,1,24,24,24,0.000317099,1,0.000317099,0.000317099,0.000317099,52,1,52,52,52,3,1,3,3,3,2,1,2,2,2,4,1,4,4,4,5,1,5,5,5,5,1,5,5,5,1,0,0,8,2,25,6,3,50,3,2,66.7,1,0,0
10,60,26,1,26,26,26,9.4259e-05,1,9.4259e-05,9.4259e-05,9.4259e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,60,24,1,24,24,24,0.000228469,1,0.000228469,0.000228469,0.000228469,31,1,31,31,31,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,5,1,5,5,5,4,1,4,4,4,1,0,0,5,0,0,5,4,80,1,1,100,0,0,0
10,60,25,1,25,25,25,0.00135407,1,0.00135407,0.00135407,0.00135407,197,1,197,197,197,11,1,11,11,11,6,1,6,6,6,4,1,4,4,4,5,1,5,5,5,5,1,5,5,5,1,0,0,29,6,20.7,23,8,34.8,15,10,66.7,5,0,0
